A1PAY3X73PQ16S	1	MCR	1.2	156	pi melizpe	you watched	you watched,she accepts,he entered	she accepts	incorrect
A1PAY3X73PQ16S	1	EX	2.0	21	pi enplizpe	you entered	ALL	you entered	revealed
A1PAY3X73PQ16S	1	MC	3.0	71	ekki enplilí	she will enter	she will enter,she will accept,you enter,he accepted,he enters	he enters	incorrect
A1PAY3X73PQ16S	1	EX	4.0	26	yé melilá	I will watch	ALL	I will watch	revealed
A1PAY3X73PQ16S	1	EX	5.0	28	ekki melilí	she will watch	ALL	she will watch	revealed
A1PAY3X73PQ16S	1	TP	6.0	190	pi melizpe	you watched	ALL	he enters	incorrect
A1PAY3X73PQ16S	1	TP	7.0	178	ák enplilí	he will enter	ALL	she entered	incorrect
A1PAY3X73PQ16S	1	EX	8.0	11	enplil	to enter	ALL	to enter	revealed
A1PAY3X73PQ16S	1	MCR	9.0	108	ák icedpilí	he will accept	she enters,she will enter,I accept,she will watch,he will accept	I accept	incorrect
A1PAY3X73PQ16S	1	MCR	9.1	108	ák icedpilí	he will accept	she enters,she will enter,she will watch,he will accept	she will watch	incorrect
A1PAY3X73PQ16S	1	MCR	9.2	108	ák icedpilí	he will accept	she enters,she will enter,he will accept	he will accept	correct
A1PAY3X73PQ16S	1	EX	10.0	19	ekki enplilí	she will enter	ALL	she will enter	revealed
A1PAY3X73PQ16S	1	MC	11.0	93	pi melizpe	you watched	you watched,I will accept,he will enter,she watched,I will watch	she watched	incorrect
A1PAY3X73PQ16S	1	TPR	12.0	199	ekki icedpilí	she will accept	ALL	she will enter	incorrect
A1PAY3X73PQ16S	1	TPR	12.0	199	ekki icedpilí	she will accept	ALL	she will accept	revealed
A1PAY3X73PQ16S	1	TP	13.0	167	ekki icedpilí	she will accept	ALL	she will accept	correct
A1PAY3X73PQ16S	1	EX	14.0	9	ák icedpü	he accepted	ALL	he accepted	revealed
A1PAY3X73PQ16S	1	EX	15.0	9	ák icedpü	he accepted	ALL	he accepted	revealed
A1PAY3X73PQ16S	1	TPR	16.0	222	pi melizpe	you watched	ALL	you watched	correct
A1PAY3X73PQ16S	1	MCR	17.0	107	yé icedpilá	I will accept	I will accept,he enters,I watched,I accept,he will watch	I will accept	correct
A1PAY3X73PQ16S	1	EX	18.0	28	ekki melilí	she will watch	ALL	she will watch	revealed
A1PAY3X73PQ16S	1	MCR	19.0	143	ekki enplü	she entered	she entered,she will accept,he will watch,you watched,she watched	she entered	correct
A1PAY3X73PQ16S	1	TP	20.0	161	yé icedpé	I accept	ALL	I will accept	incorrect
A1PAY3X73PQ16S	1	MCR	21.0	111	ekki icedpilí	she will accept	I will accept,she will accept,I will watch,to enter,she watched	she watched	incorrect
A1PAY3X73PQ16S	1	MCR	21.1	111	ekki icedpilí	she will accept	I will accept,she will accept,I will watch,to enter	she will accept	correct
A1PAY3X73PQ16S	1	TPR	22.0	202	ekki icedpü	she accepted	ALL	she watched	incorrect
A1PAY3X73PQ16S	1	TPR	22.0	202	ekki icedpü	she accepted	ALL	she accepted	revealed
