1183be42-0598-40ae-9ffa-cab3d8b59553	3	["76","MC","ák enplü","he entered","she entered","I enter","I will enter","he will watch"]	76	I enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	4	["201","TPR","ák icedpü","he accepted"]	201	I will enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	5	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	6	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	7	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	8	["147","MCR","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	147	she watched	{"1":{"guess":"she will watch","time":12},"2":{"guess":"she watched","time":10}}
1183be42-0598-40ae-9ffa-cab3d8b59553	9	["11","EX","enplil","to enter"]	11	to enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	10	["95","MC","ekki melü","she watched","you watched","she enters","he will enter","I enter"]	95	she watched	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	11	["11","EX","enplil","to enter"]	11	to enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	12	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	13	["25","EX","ekki meli","she watches"]	25	she watches	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	14	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	15	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	16	["22","EX","ák enplü","he entered"]	22	he entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	17	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	18	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	19	["111","MCR","ekki icedpilí","she will accept","she watched","I will watch","I will accept","to enter"]	111	she will accept	{"1":{"guess":"she will accept","time":12}}
1183be42-0598-40ae-9ffa-cab3d8b59553	20	["12","EX","yé enplé","I enter"]	12	I enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	21	["154","MCR","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	154	I watched	{"1":{"guess":"I enter","time":12},"2":{"guess":"I watched","time":9}}
1183be42-0598-40ae-9ffa-cab3d8b59553	22	["199","TPR","ekki icedpilí","she will accept"]	199	she will watch	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	23	["208","TPR","yé enplilá","I will enter"]	208	i entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	24	["178","TP","ák enplilí","he will enter"]	178	he entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	25	["70","MC","ekki enplilí","she will enter","she will watch","I will watch","he accepts","to enter"]	70	she will watch	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	26	["48","MC","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	48	you accepted	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	27	["210","TPR","ák enplilí","he will enter"]	210	he will enter	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	28	["73","MC","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	73	I entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	29	["22","EX","ák enplü","he entered"]	22	he entered	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	30	["105","MCR","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	105	she accepts	{"1":{"guess":"she accepted","time":11},"2":{"guess":"she accepts","time":9}}
1183be42-0598-40ae-9ffa-cab3d8b59553	31	["169","TP","ák icedpü","he accepted"]	169	he will watch	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	32	["30","EX","pi melizpe","you watched"]	30	you watched	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	33	["44","MC","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	44	he will accept	NULL
1183be42-0598-40ae-9ffa-cab3d8b59553	34	["122","MCR","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	122	you enter	{"1":{"guess":"you enter","time":13}}
1183be42-0598-40ae-9ffa-cab3d8b59553	35	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	53	she will accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	1	["15","EX","ekki enpli","she enters"]	15	she enters	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	2	["21","EX","pi enplizpe","you entered"]	21	you entered	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	3	["73","MC","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	73	I will enter	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	4	["25","EX","ekki meli","she watches"]	25	she watches	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	5	["10","EX","ekki icedpü","she accepted"]	10	she accepted	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	6	["61","MC","ák enpli","he enters","you accepted","I will enter","he accepts","he entered"]	61	I will enter	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	7	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	8	["179","TP","ekki enplilí","she will enter"]	179	she enters	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	9	["129","MCR","yé enplilá","I will enter","he enters","I entered","you will enter","to accept"]	129	I will enter	{"1":{"guess":"I will enter","time":6}}
4d4dff30-766d-4533-adb1-43812669e4a4	10	["77","MC","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	77	he entered	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	11	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	12	["34","MC","yé icedpé","I accept","I watched","to accept","he will accept","he enters"]	34	I accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	13	["93","MC","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	93	he will enter	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	14	["211","TPR","ekki enplilí","she will enter"]	211	she enters	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	15	["7","EX","ekki icedpilí","she will accept"]	7	she will accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	16	["164","TP","ekki icedpi","she accepts"]	164	she will accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	17	["127","MCR","ekki enpli","she enters","he entered","he accepts","he will enter","she will enter"]	127	she enters	{"1":{"guess":"she enters","time":10}}
4d4dff30-766d-4533-adb1-43812669e4a4	18	["164","TP","ekki icedpi","she accepts"]	164	she will accept	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	19	["215","TPR","ekki enplü","she entered"]	215	she enters	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	20	["136","MCR","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	136	I entered	{"1":{"guess":"I entered","time":8}}
4d4dff30-766d-4533-adb1-43812669e4a4	21	["138","MCR","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	138	you entered	{"1":{"guess":"I will enter","time":6},"2":{"guess":"you entered","time":4}}
4d4dff30-766d-4533-adb1-43812669e4a4	22	["94","MC","ekki melü","she watched","he accepted","I accept","to accept","I will watch"]	94	she watched	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	23	["164","TP","ekki icedpi","she accepts"]	164	she will enter	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	24	["164","TP","ekki icedpi","she accepts"]	164	she will watch	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	25	["121","MCR","yé enplé","I enter","you enter","he enters","you accepted","to accept"]	121	I enter	{"1":{"guess":"I enter","time":11}}
4d4dff30-766d-4533-adb1-43812669e4a4	26	["113","MCR","pi icedpizpe","you accepted","she will enter","you will enter","you entered","she watches"]	113	you entered	{"1":{"guess":"you will enter","time":5},"2":{"guess":"you entered","time":3}}
4d4dff30-766d-4533-adb1-43812669e4a4	27	["109","MCR","ák icedpilí","he will accept","he will watch","you accepted","she accepts","to accept"]	109	he will accept	{"1":{"guess":"to accept","time":13},"2":{"guess":"he will accept","time":9}}
4d4dff30-766d-4533-adb1-43812669e4a4	28	["136","MCR","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	136	I entered	{"1":{"guess":"I entered","time":14}}
4d4dff30-766d-4533-adb1-43812669e4a4	29	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	30	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	31	["215","TPR","ekki enplü","she entered"]	215	she enters	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	32	["173","TP","pi enpliz","you enter"]	173	he entered	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	33	["48","MC","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	48	he entered	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	34	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
4d4dff30-766d-4533-adb1-43812669e4a4	35	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	1	["22","EX","ák enplü","he entered"]	22	he entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	2	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	3	["68","MC","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	68	he entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	4	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	85	you enter	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	5	["151","MCR","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	151	he will watch	{"1":{"guess":"he will watch","time":11}}
e4533d91-1fee-401b-ab0d-68f39185db8a	6	["93","MC","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	93	she watched	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	7	["68","MC","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	68	he entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	8	["28","EX","ekki melilí","she will watch"]	28	she will watch	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	9	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	10	["12","EX","yé enplé","I enter"]	12	I enter	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	11	["122","MCR","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	122	you enter	{"1":{"guess":"she entered","time":12},"2":{"guess":"she will enter","time":8},"3":{"guess":"you enter","time":6}}
e4533d91-1fee-401b-ab0d-68f39185db8a	12	["132","MCR","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	132	he entered	{"1":{"guess":"I watched","time":13},"2":{"guess":"I accept","time":11},"3":{"guess":"he entered","time":3}}
e4533d91-1fee-401b-ab0d-68f39185db8a	13	["11","EX","enplil","to enter"]	11	to enter	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	14	["91","MC","yé melá","I watched","you watched","she watches","to enter","she accepts"]	91	I watched	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	15	["50","MC","ák icedpü","he accepted","you accept","I accept","he entered","you entered"]	50	I accept	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	16	["115","MCR","ák icedpü","he accepted","I watched","to accept","I entered","you will enter"]	115	he accepted	{"1":{"guess":"he accepted","time":11}}
d23477b9-713a-4f77-80c7-d94c561419ff	1	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	17	["69","MC","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	69	he will enter	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	18	["110","MCR","ekki icedpilí","she will accept","you accepted","I watched","I entered","he enters"]	110	she will accept	{"1":{"guess":"she will accept","time":10}}
d23477b9-713a-4f77-80c7-d94c561419ff	2	["58","MC","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	58	you enter	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	19	["116","MCR","ekki icedpü","she accepted","you will enter","she watched","you entered","I accept"]	116	she accepted	{"1":{"guess":"she accepted","time":12}}
e4533d91-1fee-401b-ab0d-68f39185db8a	20	["108","MCR","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	108	he will accept	{"1":{"guess":"he will accept","time":12}}
d23477b9-713a-4f77-80c7-d94c561419ff	3	["46","MC","ekki icedpilí","she will accept","you accepted","I watched","I entered","he enters"]	46	he enters	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	21	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	4	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	22	["158","MCR","ekki melü","she watched","he accepted","I accept","to accept","I will watch"]	158	she watched	{"1":{"guess":"she watched","time":13}}
d23477b9-713a-4f77-80c7-d94c561419ff	5	["110","MCR","ekki icedpilí","she will accept","you accepted","I watched","I entered","he enters"]	110	she will accept	{"1":{"guess":"she will accept","time":5}}
e4533d91-1fee-401b-ab0d-68f39185db8a	23	["215","TPR","ekki enplü","she entered"]	215	she entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	6	["155","MCR","yé melá","I watched","you watched","she watches","to enter","she accepts"]	155	I watched	{"1":{"guess":"I watched","time":6}}
e4533d91-1fee-401b-ab0d-68f39185db8a	24	["72","MC","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	72	I entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	7	["6","EX","ák icedpilí","he will accept"]	6	he will accept	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	25	["164","TP","ekki icedpi","she accepts"]	164	she accepted	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	8	["63","MC","ekki enpli","she enters","he entered","he accepts","he will enter","she will enter"]	63	she enters	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	26	["30","EX","pi melizpe","you watched"]	30	you watched	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	9	["215","TPR","ekki enplü","she entered"]	215	she a	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	27	["202","TPR","ekki icedpü","she accepted"]	202	she will accept	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	28	["139","MCR","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	139	you entered	{"1":{"guess":"you entered","time":12}}
d23477b9-713a-4f77-80c7-d94c561419ff	10	["139","MCR","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	139	he will enter	{"1":{"guess":"he will enter","time":1},"2":{"guess":"he will enter","time":0}}
d23477b9-713a-4f77-80c7-d94c561419ff	10	["139","MCR","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	139	he will enter	{"1":{"guess":"he will enter","time":1},"2":{"guess":"he will enter","time":0}}
d23477b9-713a-4f77-80c7-d94c561419ff	11	["145","MCR","melil","to watch","to accept","he will enter","I enter","she watches"]	145	to watch	{"1":{"guess":"to watch","time":9}}
e4533d91-1fee-401b-ab0d-68f39185db8a	29	["163","TP","ák icedpi","he accepts"]	163	he entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	30	["18","EX","ák enplilí","he will enter"]	18	he will enter	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	12	["136","MCR","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	136	I entered	{"1":{"guess":"I entered","time":3}}
e4533d91-1fee-401b-ab0d-68f39185db8a	31	["108","MCR","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	108	he will accept	{"1":{"guess":"he will accept","time":9}}
e4533d91-1fee-401b-ab0d-68f39185db8a	32	["9","EX","ák icedpü","he accepted"]	9	he accepted	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	13	["140","MCR","ák enplü","he entered","she entered","I enter","I will enter","he will watch"]	140	he entered	{"1":{"guess":"she entered","time":5},"2":{"guess":"he entered","time":3}}
e4533d91-1fee-401b-ab0d-68f39185db8a	33	["0","EX","icedpil","to accept"]	0	to accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	14	["19","EX","ekki enplilí","she will enter"]	19	she will enter	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	15	["22","EX","ák enplü","he entered"]	22	he entered	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	34	["164","TP","ekki icedpi","she accepts"]	164	she will accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	16	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	17	["46","MC","ekki icedpilí","she will accept","you accepted","I watched","I entered","he enters"]	46	she will accept	NULL
e4533d91-1fee-401b-ab0d-68f39185db8a	35	["131","MCR","pi enplilíz","you will enter","you watched","he accepted","I will accept","she entered"]	131	you will enter	{"1":{"guess":"you will enter","time":10}}
d23477b9-713a-4f77-80c7-d94c561419ff	18	["208","TPR","yé enplilá","I will enter"]	208	I entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	19	["183","TP","ekki enplü","she entered"]	183	she entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	20	["87","MC","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	87	he will watch	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	21	["168","TP","pi icedpizpe","you accepted"]	168	I will watch	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	22	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	23	["177","TP","pi enplilíz","you will enter"]	177	you accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	24	["195","TPR","ák icedpi","he accepts"]	195	he accepted	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	25	["81","MC","melil","to watch","to accept","he will enter","I enter","she watches"]	81	to watch	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	26	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	27	["74","MC","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	74	you entered	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	28	["117","MCR","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	117	she accepted	{"1":{"guess":"she will accept","time":7},"2":{"guess":"she enters","time":6},"3":{"guess":"she accepted","time":5}}
d23477b9-713a-4f77-80c7-d94c561419ff	29	["138","MCR","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	138	you entered	{"1":{"guess":"you entered","time":8}}
d23477b9-713a-4f77-80c7-d94c561419ff	30	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	31	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	32	["138","MCR","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	138	you entered	{"1":{"guess":"you entered","time":10}}
d23477b9-713a-4f77-80c7-d94c561419ff	33	["42","MC","yé icedpilá","I will accept","she accepts","she entered","she will enter","I entered"]	42	I will accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	34	["0","EX","icedpil","to accept"]	0	to accept	NULL
d23477b9-713a-4f77-80c7-d94c561419ff	35	["164","TP","ekki icedpi","she accepts"]	164	she accepts	NULL
1fd24389-6a8a-401e-87c7-640522d66153	1	["31","EX","ekki melü","she watched"]	31	she watched	NULL
1fd24389-6a8a-401e-87c7-640522d66153	2	["30","EX","pi melizpe","you watched"]	30	you watched	NULL
5200b981-777d-4b7c-97c7-d9ba8e0e7e1e	1	["18","EX","ák enplilí","he will enter"]	18	he will enter	NULL
1fd24389-6a8a-401e-87c7-640522d66153	3	["133","MCR","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	133	you will enter	{"1":{"guess":"you accepted","time":7},"2":{"guess":"I entered","time":4},"3":{"guess":"you will enter","time":3}}
e304774c-ff92-492b-9c0c-862152bd9723	1	["10","EX","ekki icedpü","she accepted"]	10	she accepted	NULL
7aedc72e-0c77-4d39-a318-aca4cc323e8c	1	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
5200b981-777d-4b7c-97c7-d9ba8e0e7e1e	2	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	85	I will watch	NULL
1fd24389-6a8a-401e-87c7-640522d66153	4	["154","MCR","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	154	he will accept	{"1":{"guess":"she will enter","time":15},"2":{"guess":"I enter","time":13},"3":{"guess":"he will accept","time":12}}
e304774c-ff92-492b-9c0c-862152bd9723	2	["142","MCR","ekki enplü","she entered","she accepts","I will watch","to enter","he accepted"]	142	he accepted	{"1":{"guess":"she accepts","time":14},"2":{"guess":"he accepted","time":11}}
7aedc72e-0c77-4d39-a318-aca4cc323e8c	2	["90","MC","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	90	I watched	NULL
1fd24389-6a8a-401e-87c7-640522d66153	5	["11","EX","enplil","to enter"]	11	to enter	NULL
