username	training_step	prompt_type	current_action	current_action_id	current_observation	complex_observation
A1U8HCXVACOGJ8	23	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
A3U21PUMQ6NGT2	30	MC	["77","MC","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	77	he enters	NULL
A2GB0RI43KU4Z	28	EX	["24","EX","melil","to watch"]	24	to watch	NULL
A3JFIY1QXMX9ZF	2	EX	["7","EX","ekki icedpilí","she will accept"]	7	she will accept	NULL
A1HRHFU7KTS0KW	15	TPR	["223","TPR","ekki melü","she watched"]	223	we entered	NULL
A3U21PUMQ6NGT2	31	TPR	["193","TPR","yé icedpé","I accept"]	193	I accepted	NULL
A2GB0RI43KU4Z	29	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1U8HCXVACOGJ8	24	MC	["92","MC","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	92	you watched	NULL
A14ADQ7RUN6TDY	20	MC	["64","MC","yé enplilá","I will enter","she will accept","she will enter","you watched","to watch"]	64	I will enter	NULL
A1HRHFU7KTS0KW	16	EX	["17","EX","pi enplilíz","you will enter"]	17	you will enter	NULL
A3JFIY1QXMX9ZF	3	MCR	["105","MCR","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	105	she accepts	{"1":{"guess":"I will accept","time":10},"2":{"guess":"she accepts","time":5}}
A3U21PUMQ6NGT2	32	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A14ADQ7RUN6TDY	21	EX	["30","EX","pi melizpe","you watched"]	30	you watched	NULL
A1HRHFU7KTS0KW	17	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
A3U21PUMQ6NGT2	33	TP	["180","TP","yé enplá","I entered"]	180	I enter	NULL
A2GB0RI43KU4Z	30	TP	["162","TP","pi icedpiz","you accept"]	162	you accepted	NULL
A3JFIY1QXMX9ZF	4	MC	["67","MC","pi enplilíz","you will enter","you watched","he accepted","I will accept","she entered"]	67	she entered	NULL
A1U8HCXVACOGJ8	25	TP	["182","TP","ák enplü","he entered"]	182	you entered	NULL
A1HRHFU7KTS0KW	18	EX	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
A3U21PUMQ6NGT2	34	MCR	["112","MCR","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	112	you accepted	{"1":{"guess":"you accepted","time":12}}
A14ADQ7RUN6TDY	22	MCR	["143","MCR","ekki enplü","she entered","she watched","she will accept","you watched","he will watch"]	143	she entered	{"1":{"guess":"she watched","time":8},"2":{"guess":"she will accept","time":5},"3":{"guess":"she entered","time":0}}
A1HRHFU7KTS0KW	19	EX	["7","EX","ekki icedpilí","she will accept"]	7	she will accept	NULL
A3JFIY1QXMX9ZF	5	MCR	["151","MCR","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	151	you enter	{"1":{"guess":"he entered","time":5},"2":{"guess":"you enter","time":3}}
A3U21PUMQ6NGT2	35	TPR	["209","TPR","pi enplilíz","you will enter"]	209	You entered	NULL
A2GB0RI43KU4Z	31	TPR	["194","TPR","pi icedpiz","you accept"]	194	you accepted	NULL
A14ADQ7RUN6TDY	23	EX	["13","EX","pi enpliz","you enter"]	13	you enter	NULL
A1U8HCXVACOGJ8	26	TP	["184","TP","melil","to watch"]	184	watch	NULL
A1HRHFU7KTS0KW	20	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A3JFIY1QXMX9ZF	6	MC	["84","MC","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	84	he accepted	NULL
A1U8HCXVACOGJ8	27	MCR	["149","MCR","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	149	I will watch	{"1":{"guess":"I will watch","time":12}}
A14ADQ7RUN6TDY	24	EX	["8","EX","pi icedpizpe","you accepted"]	8	you accepted	NULL
A1HRHFU7KTS0KW	21	MCR	["152","MCR","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	152	she will watch	{"1":{"guess":"she will watch","time":10}}
A2GB0RI43KU4Z	32	TPR	["198","TPR","ák icedpilí","he will accept"]	198	he will accept	NULL
A3JFIY1QXMX9ZF	7	MC	["68","MC","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	68	he entered	NULL
A21SIPO89DP66I	1	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
A2GB0RI43KU4Z	33	MCR	["103","MCR","ák icedpi","he accepts","I watched","he entered","he will watch","she enters"]	103	he accepts	{"1":{"guess":"he accepts","time":11}}
A1U8HCXVACOGJ8	28	TPR	["204","TPR","yé enplé","I enter"]	204	I entered	NULL
A14ADQ7RUN6TDY	25	TP	["170","TP","ekki icedpü","she accepted"]	170	she will accept	NULL
A3JFIY1QXMX9ZF	8	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A1HRHFU7KTS0KW	22	TPR	["200","TPR","pi icedpizpe","you accepted"]	200	I will accept	NULL
A1U8HCXVACOGJ8	29	MC	["71","MC","ekki enplilí","she will enter","she will accept","you enter","he accepted","he enters"]	71	she will enter	NULL
A14ADQ7RUN6TDY	26	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A21SIPO89DP66I	2	MCR	["99","MCR","yé icedpé","I accept","she watched","he accepts","I will accept","she accepted"]	99	I accept	{"1":{"guess":"I will accept","time":11},"2":{"guess":"I accept","time":9}}
A3JFIY1QXMX9ZF	9	MCR	["152","MCR","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	152	she will watch	{"1":{"guess":"she accepted","time":8},"2":{"guess":"she entered","time":7},"3":{"guess":"she will watch","time":5}}
A1HRHFU7KTS0KW	23	TP	["170","TP","ekki icedpü","she accepted"]	170	she accepted	NULL
A2GB0RI43KU4Z	34	TP	["172","TP","yé enplé","I enter"]	172	I enter	NULL
A21SIPO89DP66I	3	MC	["58","MC","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	58	she entered	NULL
A1HRHFU7KTS0KW	24	TPR	["204","TPR","yé enplé","I enter"]	204	I entered	NULL
A1U8HCXVACOGJ8	30	TPR	["200","TPR","pi icedpizpe","you accepted"]	200	he accepted	NULL
A21SIPO89DP66I	4	EX	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
A14ADQ7RUN6TDY	27	TP	["175","TP","ekki enpli","she enters"]	175	she entered	NULL
A2GB0RI43KU4Z	35	MC	["71","MC","ekki enplilí","she will enter","she will accept","you enter","he accepted","he enters"]	71	she will enter	NULL
A3JFIY1QXMX9ZF	10	TPR	["204","TPR","yé enplé","I enter"]	204	you will enter	NULL
A1U8HCXVACOGJ8	31	MC	["52","MC","ekki icedpü","she accepted","you will enter","she watched","you entered","I accept"]	52	she accepted	NULL
A1HRHFU7KTS0KW	25	MC	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	85	I will watch	NULL
A21SIPO89DP66I	5	MC	["77","MC","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	77	she accepted	NULL
A3JFIY1QXMX9ZF	11	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A21SIPO89DP66I	6	MC	["93","MC","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	93	she watched	NULL
A1HRHFU7KTS0KW	26	TP	["186","TP","yé melilá","I will watch"]	186	I will watch	NULL
A14ADQ7RUN6TDY	28	TP	["180","TP","yé enplá","I entered"]	180	I accepted	NULL
A1U8HCXVACOGJ8	32	MCR	["114","MCR","ák icedpü","he accepted","you accept","I accept","he entered","you entered"]	114	he accepted	{"1":{"guess":"you accept","time":8},"2":{"guess":"he accepted","time":4}}
A3JFIY1QXMX9ZF	12	MCR	["106","MCR","yé icedpilá","I will accept","she accepts","she entered","she will enter","I entered"]	106	I will accept	{"1":{"guess":"I will accept","time":9}}
A1HRHFU7KTS0KW	27	MCR	["125","MCR","ák enpli","he enters","you accepted","I will enter","he accepts","he entered"]	125	he enters	{"1":{"guess":"he enters","time":11}}
A14ADQ7RUN6TDY	29	EX	["8","EX","pi icedpizpe","you accepted"]	8	you accepted	NULL
A21SIPO89DP66I	7	MCR	["133","MCR","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	133	you will enter	{"1":{"guess":"I entered","time":11},"2":{"guess":"you accepted","time":7},"3":{"guess":"you will enter","time":6}}
A3JFIY1QXMX9ZF	13	MC	["90","MC","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	90	I enter	NULL
A1U8HCXVACOGJ8	33	MCR	["107","MCR","yé icedpilá","I will accept","he will watch","he enters","I accept","I watched"]	107	I will accept	{"1":{"guess":"I watched","time":8},"2":{"guess":"I will accept","time":4}}
A1HRHFU7KTS0KW	28	TPR	["202","TPR","ekki icedpü","she accepted"]	202	she accepted	NULL
A21SIPO89DP66I	8	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A3JFIY1QXMX9ZF	14	TP	["161","TP","yé icedpé","I accept"]	161	i will accept	NULL
A1U8HCXVACOGJ8	34	MC	["88","MC","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	88	she will watch	NULL
A14ADQ7RUN6TDY	30	TPR	["198","TPR","ák icedpilí","he will accept"]	198	he will accept	NULL
A1HRHFU7KTS0KW	29	EX	["0","EX","icedpil","to accept"]	0	to accept	NULL
A21SIPO89DP66I	9	EX	["21","EX","pi enplizpe","you entered"]	21	you entered	NULL
A3JFIY1QXMX9ZF	15	MC	["69","MC","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	69	I entered	NULL
A21SIPO89DP66I	10	MCR	["119","MCR","enplil","to enter","she will enter","he accepted","you enter","she will accept"]	119	to enter	{"1":{"guess":"to enter","time":13}}
A1HRHFU7KTS0KW	30	TP	["182","TP","ák enplü","he entered"]	182	He entered	NULL
A14ADQ7RUN6TDY	31	MCR	["106","MCR","yé icedpilá","I will accept","she accepts","she entered","she will enter","I entered"]	106	I will accept	{"1":{"guess":"I will accept","time":7}}
A1U8HCXVACOGJ8	35	TPR	["221","TPR","yé melá","I watched"]	221	I watch	NULL
