username	training_step	prompt_type	current_action	current_action_id	current_observation	complex_observation
A2MWAXV1YRK5GH	3	MCR	["104","MCR","ekki icedpi","she accepts","she entered","he accepted","he entered","you entered"]	104	she accepts	{"1":{"guess":"she entered","time":12},"2":{"guess":"she accepts","time":10}}
A2CF2BD4Q0ZDJN	5	TP	["183","TP","ekki enplü","she entered"]	183	she entered	NULL
A2MWAXV1YRK5GH	4	MC	["89","MC","ekki melilí","she will watch","I watched","to enter","she watches","to watch"]	89	she watches	NULL
A1BWR5RBQDZQ16	3	MCR	["108","MCR","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	108	he will accept	{"1":{"guess":"she will watch","time":10},"2":{"guess":"he will accept","time":8}}
A2CF2BD4Q0ZDJN	6	MCR	["148","MCR","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	148	I will watch	{"1":{"guess":"I will watch","time":9}}
A2MWAXV1YRK5GH	5	MCR	["157","MCR","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	157	I will watch	{"1":{"guess":"I will accept","time":11},"2":{"guess":"I will watch","time":8}}
A1BWR5RBQDZQ16	4	MCR	["98","MCR","yé icedpé","I accept","I watched","to accept","he will accept","he enters"]	98	I accept	{"1":{"guess":"he enters","time":8},"2":{"guess":"I accept","time":4}}
A2CF2BD4Q0ZDJN	7	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
A2MWAXV1YRK5GH	6	EX	["17","EX","pi enplilíz","you will enter"]	17	you will enter	NULL
A1BWR5RBQDZQ16	5	EX	["8","EX","pi icedpizpe","you accepted"]	8	you accepted	NULL
A2CF2BD4Q0ZDJN	8	TPR	["218","TPR","yé melilá","I will watch"]	218	I will accept	NULL
A1BWR5RBQDZQ16	6	EX	["10","EX","ekki icedpü","she accepted"]	10	she accepted	NULL
A2MWAXV1YRK5GH	7	MCR	["126","MCR","ekki enpli","she enters","she accepts","he enters","she will accept","to accept"]	126	she will accept	{"1":{"guess":"she accepts","time":8},"2":{"guess":"she will accept","time":6}}
A2CF2BD4Q0ZDJN	9	MCR	["121","MCR","yé enplé","I enter","you enter","he enters","you accepted","to accept"]	121	I enter	{"1":{"guess":"I enter","time":11}}
A1BWR5RBQDZQ16	7	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A2CF2BD4Q0ZDJN	10	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1BWR5RBQDZQ16	8	EX	["18","EX","ák enplilí","he will enter"]	18	he will enter	NULL
A2MWAXV1YRK5GH	8	TPR	["199","TPR","ekki icedpilí","she will accept"]	199	she accepts	NULL
A2MWAXV1YRK5GH	9	EX	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
A1BWR5RBQDZQ16	9	TP	["186","TP","yé melilá","I will watch"]	186	He Will Enter	NULL
A2CF2BD4Q0ZDJN	11	MC	["32","MC","icedpil","to accept","I enter","I entered","she accepted","she entered"]	32	to accept	NULL
A2MWAXV1YRK5GH	10	EX	["8","EX","pi icedpizpe","you accepted"]	8	you accepted	NULL
A1BWR5RBQDZQ16	10	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
A2MWAXV1YRK5GH	11	EX	["31","EX","ekki melü","she watched"]	31	she watched	NULL
A2CF2BD4Q0ZDJN	12	TPR	["210","TPR","ák enplilí","he will enter"]	210	he entered	NULL
A1BWR5RBQDZQ16	11	EX	["0","EX","icedpil","to accept"]	0	to accept	NULL
A2MWAXV1YRK5GH	12	MC	["65","MC","yé enplilá","I will enter","he enters","I entered","you will enter","to accept"]	65	I will enter	NULL
A1BWR5RBQDZQ16	12	TPR	["221","TPR","yé melá","I watched"]	221	I enter	NULL
A2CF2BD4Q0ZDJN	13	MC	["82","MC","ekki meli","she watches","you accept","she will enter","he will watch","she enters"]	82	she watches	NULL
A2MWAXV1YRK5GH	13	EX	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
A1BWR5RBQDZQ16	13	EX	["19","EX","ekki enplilí","she will enter"]	19	she will enter	NULL
A2CF2BD4Q0ZDJN	14	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A1BWR5RBQDZQ16	14	MC	["44","MC","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	44	she will watch	NULL
A2CF2BD4Q0ZDJN	15	EX	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
A2MWAXV1YRK5GH	14	TPR	["204","TPR","yé enplé","I enter"]	204	I will watch	NULL
A1BWR5RBQDZQ16	15	EX	["24","EX","melil","to watch"]	24	to watch	NULL
A2CF2BD4Q0ZDJN	16	MC	["40","MC","ekki icedpi","she accepts","she entered","he accepted","he entered","you entered"]	40	she accepts	NULL
A2MWAXV1YRK5GH	15	EX	["31","EX","ekki melü","she watched"]	31	she watched	NULL
A1BWR5RBQDZQ16	16	MCR	["115","MCR","ák icedpü","he accepted","I watched","to accept","I entered","you will enter"]	115	I watched	{"1":{"guess":"you will enter","time":13},"2":{"guess":"I entered","time":11},"3":{"guess":"I watched","time":9}}
A2CF2BD4Q0ZDJN	17	MCR	["149","MCR","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	149	I will watch	{"1":{"guess":"I will watch","time":10}}
A2MWAXV1YRK5GH	16	EX	["15","EX","ekki enpli","she enters"]	15	she enters	NULL
A1BWR5RBQDZQ16	17	EX	["9","EX","ák icedpü","he accepted"]	9	he accepted	NULL
A1BWR5RBQDZQ16	18	MC	["79","MC","ekki enplü","she entered","she watched","she will accept","you watched","he will watch"]	79	she watched	NULL
A2CF2BD4Q0ZDJN	18	MC	["92","MC","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	92	you watched	NULL
A2MWAXV1YRK5GH	17	TP	["164","TP","ekki icedpi","she accepts"]	164	she accepts	NULL
A1BWR5RBQDZQ16	19	EX	["31","EX","ekki melü","she watched"]	31	she watched	NULL
A2MWAXV1YRK5GH	18	MC	["74","MC","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	74	I accept	NULL
A2CF2BD4Q0ZDJN	19	MC	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	53	she will accept	NULL
A1BWR5RBQDZQ16	20	MC	["88","MC","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	88	she will watch	NULL
A2CF2BD4Q0ZDJN	20	MCR	["112","MCR","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	112	you accepted	{"1":{"guess":"you accepted","time":11}}
A1BWR5RBQDZQ16	21	TPR	["215","TPR","ekki enplü","she entered"]	215	She enters	NULL
A2MWAXV1YRK5GH	19	TPR	["222","TPR","pi melizpe","you watched"]	222	I enter	NULL
A2CF2BD4Q0ZDJN	21	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
A1BWR5RBQDZQ16	22	MC	["92","MC","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	92	NO_ANSWER_MADE	NULL
A2MWAXV1YRK5GH	20	TP	["180","TP","yé enplá","I entered"]	180	I will enter	NULL
A2CF2BD4Q0ZDJN	22	TP	["166","TP","ák icedpilí","he will accept"]	166	he will acept	NULL
A1BWR5RBQDZQ16	23	TP	["167","TP","ekki icedpilí","she will accept"]	167	she watched	NULL
A2CF2BD4Q0ZDJN	23	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A2MWAXV1YRK5GH	21	TP	["161","TP","yé icedpé","I accept"]	161	I will accept	NULL
A2CF2BD4Q0ZDJN	24	MCR	["123","MCR","pi enpliz","you enter","I will enter","she watches","she will accept","to accept"]	123	you enter	{"1":{"guess":"you enter","time":11}}
A1BWR5RBQDZQ16	24	TP	["190","TP","pi melizpe","you watched"]	190	I entered	NULL
A2MWAXV1YRK5GH	22	EX	["28","EX","ekki melilí","she will watch"]	28	she will watch	NULL
A2CF2BD4Q0ZDJN	25	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1BWR5RBQDZQ16	25	TPR	["215","TPR","ekki enplü","she entered"]	215	she watched	NULL
A2CF2BD4Q0ZDJN	26	EX	["24","EX","melil","to watch"]	24	to watch	NULL
A2MWAXV1YRK5GH	23	MCR	["140","MCR","ák enplü","he entered","she entered","I enter","I will enter","he will watch"]	140	he entered	{"1":{"guess":"he entered","time":6}}
A2CF2BD4Q0ZDJN	27	EX	["10","EX","ekki icedpü","she accepted"]	10	she accepted	NULL
A1BWR5RBQDZQ16	26	TPR	["222","TPR","pi melizpe","you watched"]	222	He watched	NULL
A2MWAXV1YRK5GH	24	MC	["84","MC","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	84	I will watch	NULL
A1BWR5RBQDZQ16	27	MC	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	85	you enter	NULL
A2MWAXV1YRK5GH	25	EX	["24","EX","melil","to watch"]	24	to watch	NULL
A2CF2BD4Q0ZDJN	28	EX	["15","EX","ekki enpli","she enters"]	15	she enters	NULL
A1BWR5RBQDZQ16	28	EX	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
A2CF2BD4Q0ZDJN	29	MC	["55","MC","enplil","to enter","she will enter","he accepted","you enter","she will accept"]	55	to enter	NULL
A1BWR5RBQDZQ16	29	EX	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
A2MWAXV1YRK5GH	26	TP	["170","TP","ekki icedpü","she accepted"]	170	I accepted	NULL
A2CF2BD4Q0ZDJN	30	TPR	["220","TPR","ekki melilí","she will watch"]	220	she watches	NULL
A1BWR5RBQDZQ16	30	MC	["84","MC","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	84	I will accept	NULL
A2MWAXV1YRK5GH	27	MCR	["120","MCR","yé enplé","I enter","to enter","to watch","you accept","he will watch"]	120	I enter	{"1":{"guess":"I enter","time":11}}
A2CF2BD4Q0ZDJN	31	MCR	["124","MCR","ák enpli","he enters","you will enter","I will accept","to accept","I enter"]	124	he enters	{"1":{"guess":"he enters","time":12}}
A1BWR5RBQDZQ16	31	TPR	["197","TPR","yé icedpilá","I will accept"]	197	He accepted	NULL
A2CF2BD4Q0ZDJN	32	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
A2MWAXV1YRK5GH	28	MCR	["147","MCR","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	147	she watches	{"1":{"guess":"she will watch","time":8},"2":{"guess":"she watches","time":6}}
A2MWAXV1YRK5GH	29	MC	["90","MC","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	90	I watched	NULL
A1BWR5RBQDZQ16	32	MCR	["153","MCR","ekki melilí","she will watch","I watched","to enter","she watches","to watch"]	153	she will watch	{"1":{"guess":"she watches","time":3},"2":{"guess":"she will watch","time":1}}
A2CF2BD4Q0ZDJN	33	TP	["177","TP","pi enplilíz","you will enter"]	177	you entered	NULL
A2MWAXV1YRK5GH	30	MCR	["156","MCR","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	156	you watched	{"1":{"guess":"you watched","time":9}}
A1BWR5RBQDZQ16	33	TP	["186","TP","yé melilá","I will watch"]	186	he entered	NULL
A2CF2BD4Q0ZDJN	34	MCR	["127","MCR","ekki enpli","she enters","he entered","he accepts","he will enter","she will enter"]	127	she enters	{"1":{"guess":"she enters","time":7}}
A1BWR5RBQDZQ16	34	MCR	["153","MCR","ekki melilí","she will watch","I watched","to enter","she watches","to watch"]	153	she will watch	{"1":{"guess":"she watches","time":11},"2":{"guess":"she will watch","time":10}}
A2MWAXV1YRK5GH	31	MCR	["147","MCR","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	147	she watches	{"1":{"guess":"she watched","time":7},"2":{"guess":"she watches","time":5}}
A2CF2BD4Q0ZDJN	35	MC	["70","MC","ekki enplilí","she will enter","she will watch","I will watch","he accepts","to enter"]	70	she will enter	NULL
A1BWR5RBQDZQ16	35	MCR	["137","MCR","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	137	I entered	{"1":{"guess":"he enters","time":13},"2":{"guess":"I entered","time":10}}
A2MWAXV1YRK5GH	32	TPR	["201","TPR","ák icedpü","he accepted"]	201	he accepted	NULL
A2MWAXV1YRK5GH	33	TP	["186","TP","yé melilá","I will watch"]	186	I watched	NULL
A2MWAXV1YRK5GH	34	MCR	["107","MCR","yé icedpilá","I will accept","he will watch","he enters","I accept","I watched"]	107	I will accept	{"1":{"guess":"I watched","time":6},"2":{"guess":"I will accept","time":4}}
A2MWAXV1YRK5GH	35	TPR	["218","TPR","yé melilá","I will watch"]	218	I watched	NULL
A1WYDO7PQJ8UG	1	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
A1WYDO7PQJ8UG	2	MCR	["137","MCR","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	137	she entered	{"1":{"guess":"he enters","time":10},"2":{"guess":"she entered","time":7}}
A1WYDO7PQJ8UG	3	EX	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
AZ9BZONG644TU	1	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A1WYDO7PQJ8UG	4	MCR	["125","MCR","ák enpli","he enters","you accepted","I will enter","he accepts","he entered"]	125	he enters	{"1":{"guess":"he enters","time":13}}
AZ9BZONG644TU	2	MC	["77","MC","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	77	he enters	NULL
A1WYDO7PQJ8UG	5	TP	["182","TP","ák enplü","he entered"]	182	he enters	NULL
AZ9BZONG644TU	3	MC	["95","MC","ekki melü","she watched","you watched","she enters","he will enter","I enter"]	95	she enters	NULL
A1WYDO7PQJ8UG	6	MC	["62","MC","ekki enpli","she enters","she accepts","he enters","she will accept","to accept"]	62	she enters	NULL
A1WYDO7PQJ8UG	7	MC	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	85	I watched	NULL
AZ9BZONG644TU	4	TP	["188","TP","ekki melilí","she will watch"]	188	he enters	NULL
A1WYDO7PQJ8UG	8	TP	["172","TP","yé enplé","I enter"]	172	I enter	NULL
AZ9BZONG644TU	5	MC	["66","MC","pi enplilíz","you will enter","you accept","I enter","he will watch","she will accept"]	66	you will enter	NULL
A1WYDO7PQJ8UG	9	MC	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	75	you entered	NULL
AZ9BZONG644TU	6	EX	["12","EX","yé enplé","I enter"]	12	I enter	NULL
A1WYDO7PQJ8UG	10	EX	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
AZ9BZONG644TU	7	TPR	["220","TPR","ekki melilí","she will watch"]	220	she enters	NULL
A1WYDO7PQJ8UG	11	MCR	["123","MCR","pi enpliz","you enter","I will enter","she watches","she will accept","to accept"]	123	you enter	{"1":{"guess":"you enter","time":11}}
AZ9BZONG644TU	8	TPR	["213","TPR","pi enplizpe","you entered"]	213	we will enter	NULL
A1WYDO7PQJ8UG	12	TPR	["218","TPR","yé melilá","I will watch"]	218	I 	NULL
A1WYDO7PQJ8UG	13	TP	["178","TP","ák enplilí","he will enter"]	178	he enters	NULL
AZ9BZONG644TU	9	TP	["178","TP","ák enplilí","he will enter"]	178	he entered	NULL
A1WYDO7PQJ8UG	14	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
AZ9BZONG644TU	10	EX	["14","EX","ák enpli","he enters"]	14	he enters	NULL
A1WYDO7PQJ8UG	15	EX	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
AZ9BZONG644TU	11	MC	["83","MC","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	83	he will enter	NULL
A1WYDO7PQJ8UG	16	TPR	["211","TPR","ekki enplilí","she will enter"]	211	she enters	NULL
AZ9BZONG644TU	12	TPR	["204","TPR","yé enplé","I enter"]	204	you enter	NULL
A1WYDO7PQJ8UG	17	MCR	["102","MCR","ák icedpi","he accepts","she entered","he enters","you enter","you entered"]	102	he accepts	{"1":{"guess":"he accepts","time":7}}
AZ9BZONG644TU	13	EX	["24","EX","melil","to watch"]	24	to watch	NULL
A1WYDO7PQJ8UG	18	TPR	["201","TPR","ák icedpü","he accepted"]	201	he will accept	NULL
AZ9BZONG644TU	14	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
A1WYDO7PQJ8UG	19	TPR	["214","TPR","ák enplü","he entered"]	214	he entered	NULL
AZ9BZONG644TU	15	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A1WYDO7PQJ8UG	20	MCR	["159","MCR","ekki melü","she watched","you watched","she enters","he will enter","I enter"]	159	she watched	{"1":{"guess":"she watched","time":9}}
AZ9BZONG644TU	16	MCR	["112","MCR","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	112	you accepted	{"1":{"guess":"I watched","time":11},"2":{"guess":"you accepted","time":7}}
A1WYDO7PQJ8UG	21	MC	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	75	you entered	NULL
AZ9BZONG644TU	17	MCR	["96","MCR","icedpil","to accept","I enter","I entered","she accepted","she entered"]	96	to accept	{"1":{"guess":"to accept","time":14}}
AZ9BZONG644TU	18	EX	["29","EX","yé melá","I watched"]	29	I watched	NULL
A1WYDO7PQJ8UG	22	MC	["84","MC","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	84	I will accept	NULL
AZ9BZONG644TU	19	EX	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
A1WYDO7PQJ8UG	23	MCR	["151","MCR","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	151	he will watch	{"1":{"guess":"he will watch","time":4}}
AZ9BZONG644TU	20	TPR	["212","TPR","yé enplá","I entered"]	212	NO_ANSWER_MADE	NULL
A1WYDO7PQJ8UG	24	TP	["186","TP","yé melilá","I will watch"]	186	I will watch	NULL
A1WYDO7PQJ8UG	25	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
AZ9BZONG644TU	21	MCR	["156","MCR","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	156	she accepts	{"1":{"guess":"she accepts","time":1},"2":{"guess":"she accepts","time":0}}
A1WYDO7PQJ8UG	26	MCR	["152","MCR","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	152	she will watch	{"1":{"guess":"she will watch","time":6}}
AZ9BZONG644TU	22	EX	["19","EX","ekki enplilí","she will enter"]	19	she will enter	NULL
A1WYDO7PQJ8UG	27	TPR	["201","TPR","ák icedpü","he accepted"]	201	he accepted	NULL
A1WYDO7PQJ8UG	28	MCR	["134","MCR","ekki enplilí","she will enter","she will watch","I will watch","he accepts","to enter"]	134	she will enter	{"1":{"guess":"she will enter","time":9}}
AZ9BZONG644TU	23	TP	["161","TP","yé icedpé","I accept"]	161	she watched	NULL
A1WYDO7PQJ8UG	29	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
AZ9BZONG644TU	24	MC	["47","MC","ekki icedpilí","she will accept","she watched","I will watch","I will accept","to enter"]	47	she will accept	NULL
A1WYDO7PQJ8UG	30	MCR	["104","MCR","ekki icedpi","she accepts","she entered","he accepted","he entered","you entered"]	104	she accepts	{"1":{"guess":"she accepts","time":6}}
AZ9BZONG644TU	25	TPR	["198","TPR","ák icedpilí","he will accept"]	198	NO_ANSWER_MADE	NULL
A1WYDO7PQJ8UG	31	MCR	["137","MCR","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	137	I entered	{"1":{"guess":"I entered","time":7}}
AZ9BZONG644TU	26	MCR	["129","MCR","yé enplilá","I will enter","he enters","I entered","you will enter","to accept"]	129	he enters	{"1":{"guess":"I entered","time":12},"2":{"guess":"he enters","time":10}}
A1WYDO7PQJ8UG	32	TP	["168","TP","pi icedpizpe","you accepted"]	168	you will accept	NULL
AZ9BZONG644TU	27	EX	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
A1WYDO7PQJ8UG	33	EX	["24","EX","melil","to watch"]	24	to watch	NULL
AZ9BZONG644TU	28	TPR	["217","TPR","ekki meli","she watches"]	217	NO_ANSWER_MADE	NULL
A1WYDO7PQJ8UG	34	MCR	["157","MCR","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	157	you watched	{"1":{"guess":"you watched","time":1}}
AZ9BZONG644TU	29	MCR	["138","MCR","pi enplizpe","you entered","I will accept","I will enter","you watched","I accept"]	138	I accept	{"1":{"guess":"I will enter","time":14},"2":{"guess":"you watched","time":13},"3":{"guess":"I accept","time":12}}
A1WYDO7PQJ8UG	35	TP	["161","TP","yé icedpé","I accept"]	161	I will accept	NULL
AZ9BZONG644TU	30	TP	["164","TP","ekki icedpi","she accepts"]	164	she accepted	NULL
AZ9BZONG644TU	31	MC	["40","MC","ekki icedpi","she accepts","she entered","he accepted","he entered","you entered"]	40	she accepts	NULL
AZ9BZONG644TU	32	MCR	["152","MCR","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	152	she will watch	{"1":{"guess":"she entered","time":12},"2":{"guess":"she will watch","time":11}}
AZ9BZONG644TU	33	TPR	["206","TPR","ák enpli","he enters"]	206	NO_ANSWER_MADE	NULL
AZ9BZONG644TU	34	EX	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
AZ9BZONG644TU	35	MCR	["126","MCR","ekki enpli","she enters","she accepts","he enters","she will accept","to accept"]	126	she enters	{"1":{"guess":"she will accept","time":13},"2":{"guess":"she enters","time":10}}
AKVDY8OXNMQED	1	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
AKVDY8OXNMQED	2	MCR	["139","MCR","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	139	she accepted	{"1":{"guess":"he will accept","time":6},"2":{"guess":"she accepted","time":1},"3":{"guess":"she accepted","time":0}}
AKVDY8OXNMQED	3	MC	["60","MC","ák enpli","he enters","you will enter","I will accept","to accept","I enter"]	60	I enter	NULL
AKVDY8OXNMQED	4	MCR	["151","MCR","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	151	you enter	{"1":{"guess":"you entered","time":11},"2":{"guess":"you enter","time":7}}
AKVDY8OXNMQED	5	MCR	["141","MCR","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	141	he will accept	{"1":{"guess":"she will accept","time":11},"2":{"guess":"he enters","time":5},"3":{"guess":"he will accept","time":1}}
AKVDY8OXNMQED	6	TP	["182","TP","ák enplü","he entered"]	182	he enters	NULL
AKVDY8OXNMQED	7	MC	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	53	to accept	NULL
AKVDY8OXNMQED	8	EX	["17","EX","pi enplilíz","you will enter"]	17	you will enter	NULL
AKVDY8OXNMQED	9	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
AKVDY8OXNMQED	10	EX	["9","EX","ák icedpü","he accepted"]	9	he accepted	NULL
AKVDY8OXNMQED	11	EX	["12","EX","yé enplé","I enter"]	12	I enter	NULL
AKVDY8OXNMQED	12	TPR	["219","TPR","ák melilí","he will watch"]	219	he enters	NULL
AKVDY8OXNMQED	13	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
AKVDY8OXNMQED	14	TP	["172","TP","yé enplé","I enter"]	172	you enter	NULL
AKVDY8OXNMQED	15	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
AKVDY8OXNMQED	16	MC	["37","MC","pi icedpiz","you accept","he will accept","to enter","he accepts","I entered"]	37	he will accept	NULL
AKVDY8OXNMQED	17	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
AKVDY8OXNMQED	18	TPR	["195","TPR","ák icedpi","he accepts"]	195	I will accept	NULL
AKVDY8OXNMQED	19	TPR	["219","TPR","ák melilí","he will watch"]	219	he enters	NULL
AKVDY8OXNMQED	20	TPR	["213","TPR","pi enplizpe","you entered"]	213	i will accept	NULL
AKVDY8OXNMQED	21	TPR	["198","TPR","ák icedpilí","he will accept"]	198	he entered	NULL
AKVDY8OXNMQED	22	MC	["88","MC","ekki melilí","she will watch","you will enter","he will watch","she accepted","she entered"]	88	she accepted	NULL
AKVDY8OXNMQED	23	MCR	["116","MCR","ekki icedpü","she accepted","you will enter","she watched","you entered","I accept"]	116	she accepted	{"1":{"guess":"she watched","time":11},"2":{"guess":"she accepted","time":9}}
AKVDY8OXNMQED	24	TPR	["219","TPR","ák melilí","he will watch"]	219	he accepted	NULL
AKVDY8OXNMQED	25	MCR	["158","MCR","ekki melü","she watched","he accepted","I accept","to accept","I will watch"]	158	she watched	{"1":{"guess":"she watched","time":13}}
AKVDY8OXNMQED	26	MC	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	75	you entered	NULL
AKVDY8OXNMQED	27	MCR	["106","MCR","yé icedpilá","I will accept","she accepts","she entered","she will enter","I entered"]	106	I will accept	{"1":{"guess":"I will accept","time":13}}
AKVDY8OXNMQED	28	TPR	["196","TPR","ekki icedpi","she accepts"]	196	she will accept	NULL
AKVDY8OXNMQED	29	MCR	["150","MCR","ák melilí","he will watch","to accept","she accepted","she will enter","she watches"]	150	he will watch	{"1":{"guess":"he will watch","time":11}}
AKVDY8OXNMQED	30	TP	["174","TP","ák enpli","he enters"]	174	he enters	NULL
AKVDY8OXNMQED	31	TP	["187","TP","ák melilí","he will watch"]	187	he enters	NULL
AKVDY8OXNMQED	32	MCR	["154","MCR","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	154	I watched	{"1":{"guess":"I watched","time":12}}
AKVDY8OXNMQED	33	EX	["8","EX","pi icedpizpe","you accepted"]	8	you accepted	NULL
AKVDY8OXNMQED	34	MCR	["150","MCR","ák melilí","he will watch","to accept","she accepted","she will enter","she watches"]	150	she watches	{"1":{"guess":"she accepted","time":13},"2":{"guess":"she will enter","time":11},"3":{"guess":"she watches","time":10}}
AKVDY8OXNMQED	35	MC	["71","MC","ekki enplilí","she will enter","she will accept","you enter","he accepted","he enters"]	71	she will accept	NULL
AUGDGQESOVR9H	1	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
AUGDGQESOVR9H	2	MC	["47","MC","ekki icedpilí","she will accept","she watched","I will watch","I will accept","to enter"]	47	she will accept	NULL
AUGDGQESOVR9H	3	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
AUGDGQESOVR9H	4	MC	["62","MC","ekki enpli","she enters","she accepts","he enters","she will accept","to accept"]	62	she enters	NULL
AUGDGQESOVR9H	5	MCR	["141","MCR","ák enplü","he entered","he will accept","he enters","she will accept","she accepted"]	141	he entered	{"1":{"guess":"he will accept","time":9},"2":{"guess":"he entered","time":3}}
AUGDGQESOVR9H	6	MC	["83","MC","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	83	she watches	NULL
AUGDGQESOVR9H	7	MCR	["114","MCR","ák icedpü","he accepted","you accept","I accept","he entered","you entered"]	114	he accepted	{"1":{"guess":"he accepted","time":9}}
AUGDGQESOVR9H	8	MC	["91","MC","yé melá","I watched","you watched","she watches","to enter","she accepts"]	91	to enter	NULL
AUGDGQESOVR9H	9	TPR	["196","TPR","ekki icedpi","she accepts"]	196	she enters	NULL
AUGDGQESOVR9H	10	MC	["64","MC","yé enplilá","I will enter","she will accept","she will enter","you watched","to watch"]	64	I will enter	NULL
AUGDGQESOVR9H	11	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
AUGDGQESOVR9H	12	TPR	["211","TPR","ekki enplilí","she will enter"]	211	she enters	NULL
AUGDGQESOVR9H	13	MC	["41","MC","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	41	she accepts	NULL
AUGDGQESOVR9H	14	EX	["17","EX","pi enplilíz","you will enter"]	17	you will enter	NULL
AUGDGQESOVR9H	15	TPR	["218","TPR","yé melilá","I will watch"]	218	I watch	NULL
AUGDGQESOVR9H	16	MC	["80","MC","melil","to watch","I entered","I watched","she entered","he accepted"]	80	to watch	NULL
